dadm_pavadinimas,metai1,fktp_id3,programos_pgl_amziu_pavadinimas2,metai,fktp_id2
Telšių apskr.,,,Pedagogų kvalifikacijos tobulinimo programos,2007,-
Utenos apskr.,,,Pedagogų kvalifikacijos tobulinimo programos,2007,-
Vilniaus apskr.,,,Pedagogų kvalifikacijos tobulinimo programos,2007,29
Alytaus apskr.,,,Pedagogų kvalifikacijos tobulinimo programos,2008,7
Kauno apskr.,,,Pedagogų kvalifikacijos tobulinimo programos,2008,10
Klaipėdos apskr.,,,Pedagogų kvalifikacijos tobulinimo programos,2008,1
Marijampolės apskr.,,,Pedagogų kvalifikacijos tobulinimo programos,2008,-
Panevėžio apskr.,,,Pedagogų kvalifikacijos tobulinimo programos,2008,-
Šiaulių apskr.,,,Pedagogų kvalifikacijos tobulinimo programos,2008,3
Tauragės apskr.,,,Pedagogų kvalifikacijos tobulinimo programos,2008,-
Telšių apskr.,,,Pedagogų kvalifikacijos tobulinimo programos,2008,-
Utenos apskr.,,,Pedagogų kvalifikacijos tobulinimo programos,2008,4
Vilniaus apskr.,,,Pedagogų kvalifikacijos tobulinimo programos,2008,33
Alytaus apskr.,,,Pedagogų kvalifikacijos tobulinimo programos,2009,19
Kauno apskr.,,,Pedagogų kvalifikacijos tobulinimo programos,2009,29
Klaipėdos apskr.,,,Pedagogų kvalifikacijos tobulinimo programos,2009,4
Marijampolės apskr.,,,Pedagogų kvalifikacijos tobulinimo programos,2009,2
Panevėžio apskr.,,,Pedagogų kvalifikacijos tobulinimo programos,2009,9
Šiaulių apskr.,,,Pedagogų kvalifikacijos tobulinimo programos,2009,53
Tauragės apskr.,,,Pedagogų kvalifikacijos tobulinimo programos,2009,1
Telšių apskr.,,,Pedagogų kvalifikacijos tobulinimo programos,2009,-
Utenos apskr.,,,Pedagogų kvalifikacijos tobulinimo programos,2009,19
Vilniaus apskr.,,,Pedagogų kvalifikacijos tobulinimo programos,2009,152
Alytaus apskr.,,,Pedagogų kvalifikacijos tobulinimo programos,2010,112
Kauno apskr.,,,Pedagogų kvalifikacijos tobulinimo programos,2010,95
Klaipėdos apskr.,,,Pedagogų kvalifikacijos tobulinimo programos,2010,123
Marijampolės apskr.,,,Pedagogų kvalifikacijos tobulinimo programos,2010,7
Panevėžio apskr.,,,Pedagogų kvalifikacijos tobulinimo programos,2010,34
Šiaulių apskr.,,,Pedagogų kvalifikacijos tobulinimo programos,2010,179
Tauragės apskr.,,,Pedagogų kvalifikacijos tobulinimo programos,2010,1
Telšių apskr.,,,Pedagogų kvalifikacijos tobulinimo programos,2010,9
Utenos apskr.,,,Pedagogų kvalifikacijos tobulinimo programos,2010,33
Vilniaus apskr.,,,Pedagogų kvalifikacijos tobulinimo programos,2010,385
Alytaus apskr.,,,Pedagogų kvalifikacijos tobulinimo programos,2011,161
Kauno apskr.,,,Pedagogų kvalifikacijos tobulinimo programos,2011,172
Klaipėdos apskr.,,,Pedagogų kvalifikacijos tobulinimo programos,2011,179
Marijampolės apskr.,,,Pedagogų kvalifikacijos tobulinimo programos,2011,11
Panevėžio apskr.,,,Pedagogų kvalifikacijos tobulinimo programos,2011,44
Šiaulių apskr.,,,Pedagogų kvalifikacijos tobulinimo programos,2011,281
Tauragės apskr.,,,Pedagogų kvalifikacijos tobulinimo programos,2011,1
Telšių apskr.,,,Pedagogų kvalifikacijos tobulinimo programos,2011,18
Utenos apskr.,,,Pedagogų kvalifikacijos tobulinimo programos,2011,46
Vilniaus apskr.,,,Pedagogų kvalifikacijos tobulinimo programos,2011,579
Alytaus apskr.,,,Pedagogų kvalifikacijos tobulinimo programos,2012,194
Kauno apskr.,,,Pedagogų kvalifikacijos tobulinimo programos,2012,264
Klaipėdos apskr.,,,Pedagogų kvalifikacijos tobulinimo programos,2012,235
Marijampolės apskr.,,,Pedagogų kvalifikacijos tobulinimo programos,2012,11
Panevėžio apskr.,,,Pedagogų kvalifikacijos tobulinimo programos,2012,49
Šiaulių apskr.,,,Pedagogų kvalifikacijos tobulinimo programos,2012,294
Tauragės apskr.,,,Pedagogų kvalifikacijos tobulinimo programos,2012,5
Telšių apskr.,,,Pedagogų kvalifikacijos tobulinimo programos,2012,37
Utenos apskr.,,,Pedagogų kvalifikacijos tobulinimo programos,2012,60
Vilniaus apskr.,,,Pedagogų kvalifikacijos tobulinimo programos,2012,731
Alytaus apskr.,,,Pedagogų kvalifikacijos tobulinimo programos,2013,272
Kauno apskr.,,,Pedagogų kvalifikacijos tobulinimo programos,2013,322
Klaipėdos apskr.,,,Pedagogų kvalifikacijos tobulinimo programos,2013,246
Marijampolės apskr.,,,Pedagogų kvalifikacijos tobulinimo programos,2013,11
Panevėžio apskr.,,,Pedagogų kvalifikacijos tobulinimo programos,2013,83
Šiaulių apskr.,,,Pedagogų kvalifikacijos tobulinimo programos,2013,386
Tauragės apskr.,,,Pedagogų kvalifikacijos tobulinimo programos,2013,9
Telšių apskr.,,,Pedagogų kvalifikacijos tobulinimo programos,2013,79
Utenos apskr.,,,Pedagogų kvalifikacijos tobulinimo programos,2013,89
Vilniaus apskr.,,,Pedagogų kvalifikacijos tobulinimo programos,2013,804
Alytaus apskr.,,,Pedagogų kvalifikacijos tobulinimo programos,2014,299
Kauno apskr.,,,Pedagogų kvalifikacijos tobulinimo programos,2014,421
Klaipėdos apskr.,,,Pedagogų kvalifikacijos tobulinimo programos,2014,256
Marijampolės apskr.,,,Pedagogų kvalifikacijos tobulinimo programos,2014,11
Panevėžio apskr.,,,Pedagogų kvalifikacijos tobulinimo programos,2014,86
Šiaulių apskr.,,,Pedagogų kvalifikacijos tobulinimo programos,2014,421
Tauragės apskr.,,,Pedagogų kvalifikacijos tobulinimo programos,2014,9
Telšių apskr.,,,Pedagogų kvalifikacijos tobulinimo programos,2014,81
Utenos apskr.,,,Pedagogų kvalifikacijos tobulinimo programos,2014,108
Vilniaus apskr.,,,Pedagogų kvalifikacijos tobulinimo programos,2014,925
Alytaus apskr.,,,Pedagogų kvalifikacijos tobulinimo programos,2015,299
Kauno apskr.,,,Pedagogų kvalifikacijos tobulinimo programos,2015,421
Klaipėdos apskr.,,,Pedagogų kvalifikacijos tobulinimo programos,2015,256
Marijampolės apskr.,,,Pedagogų kvalifikacijos tobulinimo programos,2015,11
Panevėžio apskr.,,,Pedagogų kvalifikacijos tobulinimo programos,2015,86
Šiaulių apskr.,,,Pedagogų kvalifikacijos tobulinimo programos,2015,419
Tauragės apskr.,,,Pedagogų kvalifikacijos tobulinimo programos,2015,9
Telšių apskr.,,,Pedagogų kvalifikacijos tobulinimo programos,2015,81
Utenos apskr.,,,Pedagogų kvalifikacijos tobulinimo programos,2015,108
Vilniaus apskr.,,,Pedagogų kvalifikacijos tobulinimo programos,2015,925
Alytaus apskr.,,,Pedagogų kvalifikacijos tobulinimo programos,2016,147
Kauno apskr.,,,Pedagogų kvalifikacijos tobulinimo programos,2016,377
Klaipėdos apskr.,,,Pedagogų kvalifikacijos tobulinimo programos,2016,94
Marijampolės apskr.,,,Pedagogų kvalifikacijos tobulinimo programos,2016,4
Panevėžio apskr.,,,Pedagogų kvalifikacijos tobulinimo programos,2016,60
Šiaulių apskr.,,,Pedagogų kvalifikacijos tobulinimo programos,2016,132
Tauragės apskr.,,,Pedagogų kvalifikacijos tobulinimo programos,2016,8
Telšių apskr.,,,Pedagogų kvalifikacijos tobulinimo programos,2016,29
Utenos apskr.,,,Pedagogų kvalifikacijos tobulinimo programos,2016,74
Vilniaus apskr.,,,Pedagogų kvalifikacijos tobulinimo programos,2016,577
Alytaus apskr.,,,Pedagogų kvalifikacijos tobulinimo programos,2017,147
Kauno apskr.,,,Pedagogų kvalifikacijos tobulinimo programos,2017,377
Klaipėdos apskr.,,,Pedagogų kvalifikacijos tobulinimo programos,2017,94
Marijampolės apskr.,,,Pedagogų kvalifikacijos tobulinimo programos,2017,4
Panevėžio apskr.,,,Pedagogų kvalifikacijos tobulinimo programos,2017,60
Šiaulių apskr.,,,Pedagogų kvalifikacijos tobulinimo programos,2017,132
Tauragės apskr.,,,Pedagogų kvalifikacijos tobulinimo programos,2017,8
Telšių apskr.,,,Pedagogų kvalifikacijos tobulinimo programos,2017,29
Utenos apskr.,,,Pedagogų kvalifikacijos tobulinimo programos,2017,74
Vilniaus apskr.,,,Pedagogų kvalifikacijos tobulinimo programos,2017,577
Alytaus apskr.,,,Pedagogų kvalifikacijos tobulinimo programos,2018,147
Kauno apskr.,,,Pedagogų kvalifikacijos tobulinimo programos,2018,371
Klaipėdos apskr.,,,Pedagogų kvalifikacijos tobulinimo programos,2018,93
Marijampolės apskr.,,,Pedagogų kvalifikacijos tobulinimo programos,2018,4
Panevėžio apskr.,,,Pedagogų kvalifikacijos tobulinimo programos,2018,60
Šiaulių apskr.,,,Pedagogų kvalifikacijos tobulinimo programos,2018,132
Tauragės apskr.,,,Pedagogų kvalifikacijos tobulinimo programos,2018,8
Telšių apskr.,,,Pedagogų kvalifikacijos tobulinimo programos,2018,29
Utenos apskr.,,,Pedagogų kvalifikacijos tobulinimo programos,2018,74
Vilniaus apskr.,,,Pedagogų kvalifikacijos tobulinimo programos,2018,577

