dadm_pavadinimas,metai1,fktp_id3,programos_pgl_amziu_pavadinimas2,metai,fktp_id2
Alytaus apskr.,2018,229,,,
Kauno apskr.,2018,596,,,
Klaipėdos apskr.,2018,354,,,
Marijampolės apskr.,2018,11,,,
Panevėžio apskr.,2018,200,,,
Šiaulių apskr.,2018,252,,,
Tauragės apskr.,2018,38,,,
Telšių apskr.,2018,62,,,
Utenos apskr.,2018,115,,,
Vilniaus apskr.,2018,839,,,
Alytaus apskr.,,,Kitų profesijų (ne pedagogų) suaugusiųjų švietimo tobulinimo programos,2003,-
Kauno apskr.,,,Kitų profesijų (ne pedagogų) suaugusiųjų švietimo tobulinimo programos,2003,-
Klaipėdos apskr.,,,Kitų profesijų (ne pedagogų) suaugusiųjų švietimo tobulinimo programos,2003,-
Marijampolės apskr.,,,Kitų profesijų (ne pedagogų) suaugusiųjų švietimo tobulinimo programos,2003,-
Panevėžio apskr.,,,Kitų profesijų (ne pedagogų) suaugusiųjų švietimo tobulinimo programos,2003,-
Šiaulių apskr.,,,Kitų profesijų (ne pedagogų) suaugusiųjų švietimo tobulinimo programos,2003,-
Tauragės apskr.,,,Kitų profesijų (ne pedagogų) suaugusiųjų švietimo tobulinimo programos,2003,-
Telšių apskr.,,,Kitų profesijų (ne pedagogų) suaugusiųjų švietimo tobulinimo programos,2003,-
Utenos apskr.,,,Kitų profesijų (ne pedagogų) suaugusiųjų švietimo tobulinimo programos,2003,-
Vilniaus apskr.,,,Kitų profesijų (ne pedagogų) suaugusiųjų švietimo tobulinimo programos,2003,-
Alytaus apskr.,,,Kitų profesijų (ne pedagogų) suaugusiųjų švietimo tobulinimo programos,2004,-
Kauno apskr.,,,Kitų profesijų (ne pedagogų) suaugusiųjų švietimo tobulinimo programos,2004,-
Klaipėdos apskr.,,,Kitų profesijų (ne pedagogų) suaugusiųjų švietimo tobulinimo programos,2004,-
Marijampolės apskr.,,,Kitų profesijų (ne pedagogų) suaugusiųjų švietimo tobulinimo programos,2004,-
Panevėžio apskr.,,,Kitų profesijų (ne pedagogų) suaugusiųjų švietimo tobulinimo programos,2004,-
Šiaulių apskr.,,,Kitų profesijų (ne pedagogų) suaugusiųjų švietimo tobulinimo programos,2004,-
Tauragės apskr.,,,Kitų profesijų (ne pedagogų) suaugusiųjų švietimo tobulinimo programos,2004,-
Telšių apskr.,,,Kitų profesijų (ne pedagogų) suaugusiųjų švietimo tobulinimo programos,2004,-
Utenos apskr.,,,Kitų profesijų (ne pedagogų) suaugusiųjų švietimo tobulinimo programos,2004,-
Vilniaus apskr.,,,Kitų profesijų (ne pedagogų) suaugusiųjų švietimo tobulinimo programos,2004,-
Alytaus apskr.,,,Kitų profesijų (ne pedagogų) suaugusiųjų švietimo tobulinimo programos,2005,-
Kauno apskr.,,,Kitų profesijų (ne pedagogų) suaugusiųjų švietimo tobulinimo programos,2005,-
Klaipėdos apskr.,,,Kitų profesijų (ne pedagogų) suaugusiųjų švietimo tobulinimo programos,2005,-
Marijampolės apskr.,,,Kitų profesijų (ne pedagogų) suaugusiųjų švietimo tobulinimo programos,2005,-
Panevėžio apskr.,,,Kitų profesijų (ne pedagogų) suaugusiųjų švietimo tobulinimo programos,2005,-
Šiaulių apskr.,,,Kitų profesijų (ne pedagogų) suaugusiųjų švietimo tobulinimo programos,2005,-
Tauragės apskr.,,,Kitų profesijų (ne pedagogų) suaugusiųjų švietimo tobulinimo programos,2005,-
Telšių apskr.,,,Kitų profesijų (ne pedagogų) suaugusiųjų švietimo tobulinimo programos,2005,-
Utenos apskr.,,,Kitų profesijų (ne pedagogų) suaugusiųjų švietimo tobulinimo programos,2005,-
Vilniaus apskr.,,,Kitų profesijų (ne pedagogų) suaugusiųjų švietimo tobulinimo programos,2005,-
Alytaus apskr.,,,Kitų profesijų (ne pedagogų) suaugusiųjų švietimo tobulinimo programos,2006,-
Kauno apskr.,,,Kitų profesijų (ne pedagogų) suaugusiųjų švietimo tobulinimo programos,2006,-
Klaipėdos apskr.,,,Kitų profesijų (ne pedagogų) suaugusiųjų švietimo tobulinimo programos,2006,-
Marijampolės apskr.,,,Kitų profesijų (ne pedagogų) suaugusiųjų švietimo tobulinimo programos,2006,-
Panevėžio apskr.,,,Kitų profesijų (ne pedagogų) suaugusiųjų švietimo tobulinimo programos,2006,-
Šiaulių apskr.,,,Kitų profesijų (ne pedagogų) suaugusiųjų švietimo tobulinimo programos,2006,-
Tauragės apskr.,,,Kitų profesijų (ne pedagogų) suaugusiųjų švietimo tobulinimo programos,2006,-
Telšių apskr.,,,Kitų profesijų (ne pedagogų) suaugusiųjų švietimo tobulinimo programos,2006,-
Utenos apskr.,,,Kitų profesijų (ne pedagogų) suaugusiųjų švietimo tobulinimo programos,2006,-
Vilniaus apskr.,,,Kitų profesijų (ne pedagogų) suaugusiųjų švietimo tobulinimo programos,2006,-
Alytaus apskr.,,,Kitų profesijų (ne pedagogų) suaugusiųjų švietimo tobulinimo programos,2007,-
Kauno apskr.,,,Kitų profesijų (ne pedagogų) suaugusiųjų švietimo tobulinimo programos,2007,-
Klaipėdos apskr.,,,Kitų profesijų (ne pedagogų) suaugusiųjų švietimo tobulinimo programos,2007,-
Marijampolės apskr.,,,Kitų profesijų (ne pedagogų) suaugusiųjų švietimo tobulinimo programos,2007,-
Panevėžio apskr.,,,Kitų profesijų (ne pedagogų) suaugusiųjų švietimo tobulinimo programos,2007,-
Šiaulių apskr.,,,Kitų profesijų (ne pedagogų) suaugusiųjų švietimo tobulinimo programos,2007,-
Tauragės apskr.,,,Kitų profesijų (ne pedagogų) suaugusiųjų švietimo tobulinimo programos,2007,-
Telšių apskr.,,,Kitų profesijų (ne pedagogų) suaugusiųjų švietimo tobulinimo programos,2007,-
Utenos apskr.,,,Kitų profesijų (ne pedagogų) suaugusiųjų švietimo tobulinimo programos,2007,-
Vilniaus apskr.,,,Kitų profesijų (ne pedagogų) suaugusiųjų švietimo tobulinimo programos,2007,-
Alytaus apskr.,,,Kitų profesijų (ne pedagogų) suaugusiųjų švietimo tobulinimo programos,2008,-
Kauno apskr.,,,Kitų profesijų (ne pedagogų) suaugusiųjų švietimo tobulinimo programos,2008,-
Klaipėdos apskr.,,,Kitų profesijų (ne pedagogų) suaugusiųjų švietimo tobulinimo programos,2008,-
Marijampolės apskr.,,,Kitų profesijų (ne pedagogų) suaugusiųjų švietimo tobulinimo programos,2008,-
Panevėžio apskr.,,,Kitų profesijų (ne pedagogų) suaugusiųjų švietimo tobulinimo programos,2008,-
Šiaulių apskr.,,,Kitų profesijų (ne pedagogų) suaugusiųjų švietimo tobulinimo programos,2008,-
Tauragės apskr.,,,Kitų profesijų (ne pedagogų) suaugusiųjų švietimo tobulinimo programos,2008,-
Telšių apskr.,,,Kitų profesijų (ne pedagogų) suaugusiųjų švietimo tobulinimo programos,2008,-
Utenos apskr.,,,Kitų profesijų (ne pedagogų) suaugusiųjų švietimo tobulinimo programos,2008,-
Vilniaus apskr.,,,Kitų profesijų (ne pedagogų) suaugusiųjų švietimo tobulinimo programos,2008,-
Alytaus apskr.,,,Kitų profesijų (ne pedagogų) suaugusiųjų švietimo tobulinimo programos,2009,1
Kauno apskr.,,,Kitų profesijų (ne pedagogų) suaugusiųjų švietimo tobulinimo programos,2009,-
Klaipėdos apskr.,,,Kitų profesijų (ne pedagogų) suaugusiųjų švietimo tobulinimo programos,2009,-
Marijampolės apskr.,,,Kitų profesijų (ne pedagogų) suaugusiųjų švietimo tobulinimo programos,2009,-
Panevėžio apskr.,,,Kitų profesijų (ne pedagogų) suaugusiųjų švietimo tobulinimo programos,2009,-
Šiaulių apskr.,,,Kitų profesijų (ne pedagogų) suaugusiųjų švietimo tobulinimo programos,2009,5
Tauragės apskr.,,,Kitų profesijų (ne pedagogų) suaugusiųjų švietimo tobulinimo programos,2009,-
Telšių apskr.,,,Kitų profesijų (ne pedagogų) suaugusiųjų švietimo tobulinimo programos,2009,-
Utenos apskr.,,,Kitų profesijų (ne pedagogų) suaugusiųjų švietimo tobulinimo programos,2009,-
Vilniaus apskr.,,,Kitų profesijų (ne pedagogų) suaugusiųjų švietimo tobulinimo programos,2009,-
Alytaus apskr.,,,Kitų profesijų (ne pedagogų) suaugusiųjų švietimo tobulinimo programos,2010,4
Kauno apskr.,,,Kitų profesijų (ne pedagogų) suaugusiųjų švietimo tobulinimo programos,2010,102
Klaipėdos apskr.,,,Kitų profesijų (ne pedagogų) suaugusiųjų švietimo tobulinimo programos,2010,18
Marijampolės apskr.,,,Kitų profesijų (ne pedagogų) suaugusiųjų švietimo tobulinimo programos,2010,6
Panevėžio apskr.,,,Kitų profesijų (ne pedagogų) suaugusiųjų švietimo tobulinimo programos,2010,9
Šiaulių apskr.,,,Kitų profesijų (ne pedagogų) suaugusiųjų švietimo tobulinimo programos,2010,50
Tauragės apskr.,,,Kitų profesijų (ne pedagogų) suaugusiųjų švietimo tobulinimo programos,2010,1
Telšių apskr.,,,Kitų profesijų (ne pedagogų) suaugusiųjų švietimo tobulinimo programos,2010,15
Utenos apskr.,,,Kitų profesijų (ne pedagogų) suaugusiųjų švietimo tobulinimo programos,2010,26
Vilniaus apskr.,,,Kitų profesijų (ne pedagogų) suaugusiųjų švietimo tobulinimo programos,2010,64
Alytaus apskr.,,,Kitų profesijų (ne pedagogų) suaugusiųjų švietimo tobulinimo programos,2011,7
Kauno apskr.,,,Kitų profesijų (ne pedagogų) suaugusiųjų švietimo tobulinimo programos,2011,130
Klaipėdos apskr.,,,Kitų profesijų (ne pedagogų) suaugusiųjų švietimo tobulinimo programos,2011,23
Marijampolės apskr.,,,Kitų profesijų (ne pedagogų) suaugusiųjų švietimo tobulinimo programos,2011,6
Panevėžio apskr.,,,Kitų profesijų (ne pedagogų) suaugusiųjų švietimo tobulinimo programos,2011,31
Šiaulių apskr.,,,Kitų profesijų (ne pedagogų) suaugusiųjų švietimo tobulinimo programos,2011,57
Tauragės apskr.,,,Kitų profesijų (ne pedagogų) suaugusiųjų švietimo tobulinimo programos,2011,1
